rainfall_mm,aqi,zone_risk,hours_per_week,vehicle_age_yrs,past_claims,gig_tenure_yrs,premium_tier
14.08,114.18,1,81.0,1.8,0,1.9,0
90.3,6.58,1,67.2,13.4,0,2.8,0
39.5,125.27,3,77.0,4.8,1,10.0,1
27.39,204.81,1,27.4,3.0,0,4.2,0
5.09,182.26,2,24.6,13.9,1,5.0,1
5.09,175.69,1,10.5,9.3,0,7.7,0
1.8,133.2,3,62.3,2.9,1,6.4,1
60.34,73.26,1,79.4,9.4,0,8.4,0
27.57,180.92,3,23.8,2.1,0,4.9,1
36.94,99.94,1,57.1,1.0,1,9.7,0
0.62,281.05,3,65.2,1.1,1,8.0,1
105.11,184.23,2,78.6,4.3,2,4.0,1
53.59,115.16,1,57.9,2.8,2,3.8,0
7.16,113.32,2,81.8,4.3,0,9.3,0
6.02,144.42,1,35.5,4.6,0,6.8,0
6.08,135.63,1,35.9,0.1,0,6.2,0
10.88,217.01,3,50.2,0.2,2,7.6,1
22.32,161.18,2,38.4,3.0,1,5.6,0
16.97,106.1,1,10.1,0.8,0,1.6,0
10.33,263.43,1,64.2,4.0,2,3.2,0
28.39,152.96,1,65.6,3.2,0,5.6,0
4.51,196.13,3,65.3,3.5,0,0.2,1
10.37,113.51,1,35.5,1.4,0,4.4,0
13.69,171.79,3,48.6,4.1,0,7.6,1
18.27,168.67,3,36.6,7.1,0,1.6,1
46.14,36.62,1,11.2,15.0,1,0.6,0
6.68,270.92,1,51.6,7.3,0,8.4,0
21.66,227.44,3,19.2,3.3,0,6.2,1
26.93,126.17,1,15.9,0.9,2,1.8,0
1.43,83.86,1,65.9,4.6,0,8.1,0
28.06,170.85,1,10.7,11.1,1,6.6,0
5.61,155.2,2,81.0,1.0,0,3.3,0
2.02,171.34,3,48.1,1.2,0,3.8,1
89.21,161.49,1,82.7,0.6,0,1.6,0
101.12,180.37,1,14.3,5.3,0,8.4,0
49.57,236.84,3,53.2,2.1,0,5.1,1
10.9,184.09,3,35.9,0.3,3,5.6,2
3.08,87.02,2,72.4,8.3,0,8.8,0
34.58,231.75,3,36.7,3.3,1,0.2,1
17.4,248.44,2,29.3,1.6,0,0.7,1
3.9,339.12,3,73.5,1.7,0,1.6,1
20.51,82.59,1,37.7,1.4,0,0.3,0
1.05,164.57,1,11.2,2.4,0,6.6,0
72.01,25.07,2,38.9,1.6,0,6.3,1
8.98,183.19,2,58.4,3.2,1,2.1,0
32.59,117.11,3,28.8,5.9,2,1.5,1
11.21,265.41,1,42.0,4.5,2,1.5,1
22.02,103.52,3,14.2,1.4,0,9.5,1
23.74,48.65,3,53.5,3.0,1,6.9,1
6.13,121.72,1,66.0,7.3,1,5.9,0
104.78,31.47,3,40.6,0.3,0,3.2,1
44.77,195.07,2,41.1,0.3,1,4.3,1
84.15,26.1,3,16.5,3.2,2,0.9,2
67.56,151.71,2,24.9,4.1,1,10.0,0
27.33,25.33,2,21.4,1.0,1,7.6,0
76.48,130.78,2,45.6,5.5,0,6.2,1
2.78,248.6,1,49.2,4.2,1,5.9,0
6.54,171.64,1,80.2,10.3,0,5.0,0
1.39,98.19,2,15.4,0.7,0,2.6,1
